period,model_type,base_model_group,new_version_count,new_model_count,active_total_last
2026-05,Checkpoint,Anima,178,72,
2026-05,Checkpoint,AuraFlow,7,3,
2026-05,Checkpoint,CogVideoX,1,1,
2026-05,Checkpoint,Ernie,38,16,
2026-05,Checkpoint,FLUX2 Klein 9B,68,17,
2026-05,Checkpoint,Flux,1322,446,
2026-05,Checkpoint,Flux.1 Kontext,24,9,
2026-05,Checkpoint,Grok,1,1,
2026-05,Checkpoint,Hi-Dream O1,74,16,
2026-05,Checkpoint,Hunyuan 1,7,7,
2026-05,Checkpoint,Illustrious,4533,1766,
2026-05,Checkpoint,Imagen4,1,1,
2026-05,Checkpoint,Kling,4,1,
2026-05,Checkpoint,LTXV,29,3,
2026-05,Checkpoint,LTXV2.3,46,6,
2026-05,Checkpoint,Legacy,856,282,
2026-05,Checkpoint,Lumina,19,10,
2026-05,Checkpoint,Mochi,5,1,
2026-05,Checkpoint,Nano Banana,3,1,
2026-05,Checkpoint,NoobAI,639,226,
2026-05,Checkpoint,ODOR,1,1,
2026-05,Checkpoint,OpenAI,3,2,
2026-05,Checkpoint,PixArt E,68,16,
2026-05,Checkpoint,PixArt a,3,3,
2026-05,Checkpoint,Playground v2,10,6,
2026-05,Checkpoint,Pony,2198,872,
2026-05,Checkpoint,Qwen,183,52,
2026-05,Checkpoint,SD 1.4,4,1,
2026-05,Checkpoint,SD 1.5,6985,2764,
2026-05,Checkpoint,SD 1.5 Hyper,15,10,
2026-05,Checkpoint,SD 2.0,3,1,
2026-05,Checkpoint,SD 2.0 768,7,3,
2026-05,Checkpoint,SD 2.1,16,12,
2026-05,Checkpoint,SD 2.1 768,28,11,
2026-05,Checkpoint,SDXL,3222,1246,
2026-05,Checkpoint,SDXL Distilled,4,4,
2026-05,Checkpoint,Seedance,2,1,
2026-05,Checkpoint,Seedream,4,1,
2026-05,Checkpoint,Sora 2,1,1,
2026-05,Checkpoint,Stable Cascade,52,16,
2026-05,Checkpoint,Veo 3,4,1,
2026-05,Checkpoint,Vidu Q1,2,1,
2026-05,Checkpoint,Wan Image 2.7,1,1,
2026-05,Checkpoint,Wan Video,14,5,
2026-05,Checkpoint,Wan Video 14B i2v 480p,12,3,
2026-05,Checkpoint,Wan Video 14B i2v 720p,16,4,
2026-05,Checkpoint,Wan Video 2.5 I2V,1,0,
2026-05,Checkpoint,Wan Video 2.5 T2V,1,1,
2026-05,Checkpoint,Wan Video 2.7,1,1,
2026-05,Checkpoint,Wanvideo2.2,84,18,
2026-05,Checkpoint,Z-Image,361,109,
2026-05,LORA,ANIMA,31,31,
2026-05,LORA,Anima,2398,1873,
2026-05,LORA,Ernie,93,56,
2026-05,LORA,FLUX2 Klein 9B,351,209,
2026-05,LORA,Flux,537,241,
2026-05,LORA,Hi-Dream O1,24,13,
2026-05,LORA,Illustrious,7516,5288,
2026-05,LORA,LTXV2.3,40,19,
2026-05,LORA,Legacy,190,83,
2026-05,LORA,Lumina,1,0,
2026-05,LORA,NoobAI,337,225,
2026-05,LORA,Pony,808,291,
2026-05,LORA,Qwen,68,18,
2026-05,LORA,SD 1.4,1,0,
2026-05,LORA,SD 1.5,311,106,
2026-05,LORA,SDXL,530,315,
2026-05,LORA,Wan Video 14B i2v 720p,1,0,
2026-05,LORA,Wanvideo2.2,39,8,
2026-05,LORA,Z-Image,820,445,
